ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,nivelEscalamiento,UserInfo,tiempoResolucion
36,Rotura,05-06-2024,Abierta,['797-83-0198'],['13540'],Bajo,"[['Raimundo Del Solano', 'llorensalfonso@camara-delgado.net', '+34748853744']]",-1.0
37,Desgaste,27-03-2024,Cerrada,['268-12-9651'],"['2841', '8770']",Bajo,"[['María Ángeles Del Palma', 'sbou@hotmail.com', '+34819773924']]",187.0
38,Vandalismo,28-08-2024,Cerrada,"['506-12-3016', '724-54-6205']",['9589'],Bajo,"[['Yaiza Gil Cañete', 'rupertasalgado@pol.es', '+34717443582'], ['Hernán Martin Lozano Sala', 'guillenmaximino@hotmail.com', '+34711013583']]",-1.0
39,Rotura,30-05-2024,Abierta,"['148-81-7465', '892-51-8894', '277-22-2474']","['4881', '10453']",Bajo,"[['Primitivo Seco Portillo', 'santosquiroga@llado.com', '+34639314843'], ['Nereida Del Vallés', 'pardodamian@hotmail.com', '+34706943310'], ['Marisela Gargallo Enríquez', 'ainoa56@gmail.com', '+34737531787']]",115.0
40,Vandalismo,03-02-2024,Abierta,['277-13-4981'],['4290'],Bajo,"[['Sara Rodrigo Navarro', 'knovoa@cabeza.es', '+34715812872']]",230.0
41,Mal funcionamiento,07-02-2024,Cerrada,['896-45-6813'],['8378'],Bajo,"[['Guiomar Portillo-albero', 'cuestacelia@fabra-corominas.com', '+34892845290']]",202.0
42,Rotura,28-04-2024,Cerrada,"['733-04-2086', '735-30-7385', '003-12-7817']",['12228'],Bajo,"[['Adelia Artigas Maestre', 'zrivas@hotmail.com', '+34729979352'], ['Anastasio Urrutia', 'pfuente@yahoo.com', '+34672619509'], ['Eliana Antón Puga', 'pozoteodosio@hotmail.com', '+34723346433']]",90.0
43,Mal funcionamiento,26-08-2024,Cerrada,"['176-49-6345', '271-42-0156', '199-53-0558']",['13503'],Bajo,"[['Jovita Salom Pardo', 'armengolcarmela@gmail.com', '+34706133351'], ['Íngrid Cárdenas Sala', 'constanzagamez@yahoo.com', '+34927570200'], ['Dominga Morán Fuster', 'atilioaller@baez.es', '+34855486174']]",-1.0
44,Vandalismo,18-06-2024,Cerrada,['351-49-6681'],['7333'],Bajo,"[['Cayetana Portillo Merino', 'nicodemodonoso@gmail.com', '+34703620204']]",-1.0
45,Desgaste,19-09-2024,Abierta,['461-89-3669'],['14756'],Bajo,"[['Angelino De Tenorio', 'guiomarcortina@hotmail.com', '+34966709570']]",-1.0
46,Vandalismo,11-02-2024,Cerrada,"['888-99-5847', '193-18-4017', '053-99-8190']",['842'],Bajo,"[['Francisco Jose Escrivá Dominguez', 'tristanvillaverde@gmail.com', '+34716278496'], ['Ágata De Viana', 'tejeraolga@peiro-uriarte.com', '+34978229008'], ['Rebeca Bravo Bastida', 'pintorprudencio@chacon.com', '+34714393268']]",202.0
47,Rotura,14-04-2024,Cerrada,"['632-00-3897', '459-73-0908', '668-32-8793']",['1462'],Bajo,"[['Angélica Cazorla Gracia', 'genoveva11@grau.com', '+34717129872'], ['Manola Torrijos Acero', 'jose-mariacabrero@mateo-alcolea.net', '+34825731288'], ['Jenny Sedano Gual', 'galo53@gmail.com', '+34737112065']]",61.0
48,Rotura,10-10-2024,Abierta,"['596-19-1998', '286-98-4422', '041-15-2415']","['2297', '2494']",Bajo,"[['Aureliano Rebollo Paz', 'geronimo84@yahoo.com', '+34698503842'], ['Victoria Asenjo-barco', 'toribio80@pelaez-zapata.com', '+34728145248'], ['Gabino Del Lucas', 'azucena18@gmail.com', '+34816626359']]",-1.0
49,Rotura,08-10-2024,Cerrada,"['689-32-4439', '873-27-3314', '913-85-6147']",['2179'],Bajo,"[['Haroldo Eutropio Anglada Ángel', 'luisina53@gmail.com', '+34705578463'], ['Alma Leire Ropero Valentín', 'xgisbert@yahoo.com', '+34726809285'], ['Gonzalo Hernández Álamo', 'zpatino@gmail.com', '+34749326378']]",-1.0
50,Rotura,27-01-2024,Abierta,['863-33-3766'],['7750'],Bajo,"[['Maxi Villalonga Pomares', 'ambrosio57@torrijos.com', '+34606033633']]",187.0
51,Vandalismo,14-06-2024,Abierta,['869-34-7706'],['1438'],Bajo,"[['Bernabé Ribes Cuervo', 'mariana39@gmail.com', '+34740028256']]",17.0
52,Mal funcionamiento,14-09-2024,Cerrada,"['142-30-5668', '955-90-1850']",['8133'],Bajo,"[['Buenaventura Rincón Espada', 'maximianosalvador@carballo.com', '+34930675977'], ['Leonel Marquez Valverde', 'encarnacion22@gmail.com', '+34883058001']]",-1.0
53,Rotura,02-07-2024,Abierta,['738-70-3572'],['8945'],Bajo,"[['Heraclio César Pino Baeza', 'eric01@gmail.com', '+34842766841']]",79.0
54,Desgaste,15-09-2024,Cerrada,"['014-33-4371', '508-48-3418', '387-76-2628']",['14807'],Bajo,"[['María Luisa De Mendizábal', 'egrande@jaen.com', '+34740162588'], ['Dan Huerta Viana', 'iglesiagerardo@hotmail.com', '+34731610968'], ['Chuy Polo Diéguez', 'raquel28@munoz.com', '+34731993349']]",-1.0
55,Vandalismo,10-06-2024,Abierta,"['541-92-0256', '856-89-1964', '016-30-7094']",['11370'],Bajo,"[['Bartolomé Gallo Alsina', 'huertaiban@gmail.com', '+34921290391'], ['Evita Sala Flor', 'gaspar82@hotmail.com', '+34658627277'], ['Primitivo Suarez Tamarit', 'tsaavedra@hotmail.com', '+34707991331']]",22.0
56,Mal funcionamiento,13-12-2023,Cerrada,"['117-80-0652', '060-21-9395', '089-59-2419']","['12152', '12720']",Bajo,"[['Tadeo Villa Núñez', 'xtorre@bolanos-nino.net', '+34724724498'], ['Eliseo Segarra', 'martirio99@murcia.org', '+34736859090'], ['Natividad Arcos Pujadas', 'angel18@araujo.es', '+34712686379']]",253.0
57,Vandalismo,29-08-2024,Abierta,['172-97-8724'],['13468'],Bajo,"[['Angelino Hurtado Acevedo', 'alejandrafabregas@flores-barco.net', '+34732049033']]",-1.0
58,Vandalismo,03-09-2024,Cerrada,"['871-28-1730', '541-59-4325', '471-54-1054']",['587'],Bajo,"[['Angélica Bejarano', 'raul57@gmail.com', '+34637260472'], ['Eligio Del Domingo', 'zvara@hotmail.com', '+34991055415'], ['Vinicio Alcolea Vizcaíno', 'guadaluperios@royo.com', '+34744356743']]",-1.0
59,Vandalismo,26-08-2024,Cerrada,"['690-16-4774', '418-44-8103']",['1539'],Bajo,"[['Loreto Cabañas', 'juan-bautistarueda@rius.es', '+34657405373'], ['Florentina Baquero Cerdá', 'petronaelorza@yahoo.com', '+34694234561']]",-1.0
60,Rotura,08-03-2024,Cerrada,"['250-40-0290', '782-70-6692', '401-29-1803']","['1989', '8098']",Bajo,"[['Rolando Zamora-carrión', 'azconaapolonia@barcelo.com', '+34733874423'], ['Guiomar Del Alberola', 'omontenegro@sabater.com', '+34717310574'], ['Arturo Navarrete Huerta', 'narciso37@torrents-mora.org', '+34713095978']]",-1.0
61,Desgaste,22-03-2024,Abierta,"['100-01-0264', '410-33-9822']",['9734'],Bajo,"[['Adelina Alcolea Cuevas', 'asebastian@pinilla.es', '+34902742338'], ['Felicidad Salas Madrid', 'drodriguez@yahoo.com', '+34742634704']]",10.0
62,Mal funcionamiento,23-08-2024,Cerrada,['322-98-2998'],['2632'],Bajo,"[['Ángeles Lara Hervás Garriga', 'ninogeorgina@carrion.net', '+34649490015']]",-1.0
63,Desgaste,03-07-2024,Abierta,"['479-94-4802', '032-03-7429']",['3607'],Bajo,"[['Omar Salas Manzano', 'coelloblanca@sacristan.es', '+34709111200'], ['Adolfo Díaz González', 'poueligio@gmail.com', '+34735594953']]",78.0
64,Rotura,08-03-2024,Abierta,['901-73-6249'],['7756'],Bajo,"[['Hortensia Salamanca Bernal', 'javivalls@yahoo.com', '+34945495645']]",23.0
65,Desgaste,26-01-2024,Cerrada,['241-48-9310'],['9794'],Bajo,"[['Lorenza Adadia Ricart', 'pjuarez@hotmail.com', '+34742833833']]",116.0
66,Mal funcionamiento,11-10-2024,Cerrada,"['808-83-2834', '555-94-9326', '711-02-3044']",['8081'],Bajo,"[['Sarita Hernandez Cañas', 'maria-teresa60@grande.com', '+34678910563'], ['Clementina Osorio Montes', 'eutropioborras@velez.com', '+34733687774'], ['Nieves Céspedes Ríos', 'gloria72@yahoo.com', '+34744221708']]",-1.0
67,Rotura,16-01-2024,Cerrada,"['090-73-5016', '018-48-4998', '236-66-5410']","['7601', '11223']",Bajo,"[['Bernardita Berrocal-moya', 'wcalatayud@mateu.net', '+34706113731'], ['Mario Lasa Blanch', 'kike95@hotmail.com', '+34989318183'], ['Macaria Ochoa Nadal', 'dropero@bayo-barcena.org', '+34711570364']]",220.0
68,Rotura,29-09-2024,Cerrada,"['889-06-0212', '223-67-7660']","['2315', '12518']",Bajo,"[['Fortunato Torre Verdú', 'ericfuente@gargallo.es', '+34905339669'], ['Camilo Jaume', 'yaizanaranjo@castaneda.com', '+34716318199']]",-1.0
69,Desgaste,28-09-2024,Cerrada,"['597-83-3782', '438-90-8611', '310-67-5019']",['3205'],Bajo,"[['Trinidad De Cruz', 'priegoevaristo@gmail.com', '+34969805363'], ['Javiera Vázquez Barroso', 'gherranz@gmail.com', '+34742217533'], ['Carlos Estévez Palomar', 'ambaraznar@yahoo.com', '+34851474423']]",-1.0
70,Vandalismo,03-02-2024,Cerrada,"['288-08-3515', '901-67-6635']",['11544'],Bajo,"[['Anastasio Del Tejedor', 'antoniosegarra@yahoo.com', '+34737103731'], ['Asdrubal Orozco', 'apolonia53@gmail.com', '+34816411704']]",174.0
71,Vandalismo,16-03-2024,Cerrada,"['778-65-5960', '282-19-2052']",['4456'],Bajo,"[['Dafne Pareja Armengol', 'doroteagarzon@gmail.com', '+34932115047'], ['Salvador Torre', 'knarvaez@yahoo.com', '+34855694678']]",31.0
72,Vandalismo,05-10-2024,Cerrada,['460-57-1099'],['12063'],Bajo,"[['José Luis Luís Valverde', 'olmedomarita@riba-roig.es', '+34648430062']]",-1.0
73,Desgaste,07-06-2024,Abierta,"['305-88-3625', '753-54-9380', '738-87-3253']",['3462'],Bajo,"[['Jesús Jordán Rosa', 'carmonalupe@gabaldon.com', '+34821053956'], ['Celestina Martínez', 'bautista56@carpio.com', '+34739114119'], ['Natalia Beltran-posada', 'samantafigueras@cordero.com', '+34719137807']]",-1.0
74,Desgaste,14-02-2024,Cerrada,"['154-86-3026', '138-40-0694', '032-33-8307']",['1352'],Bajo,"[['Tadeo Gras-bolaños', 'bgras@espejo-villalonga.net', '+34661363734'], ['Godofredo Ruperto Miguel Perera', 'tomasa37@gmail.com', '+34685927709'], ['Samuel De Rivero', 'violetasancho@hotmail.com', '+34722357487']]",52.0
75,Desgaste,16-11-2023,Cerrada,"['733-85-7189', '603-85-7965']",['10547'],Bajo,"[['María Borrás Chacón', 'uibanez@gmail.com', '+34896426105'], ['María Teresa Gimenez Adadia', 'celestino10@gmail.com', '+34720423642']]",114.0
76,Mal funcionamiento,05-07-2024,Cerrada,"['260-90-2212', '841-37-3199', '628-45-2561']",['6303'],Bajo,"[['Wálter Iglesia Lobato', 'raguilo@rosa.net', '+34822257586'], ['Natalia Roselló Salcedo', 'pedro25@carbajo-salcedo.es', '+34749097821'], ['Coral Manzano Salgado', 'svera@palomar.es', '+34722829445']]",-1.0
77,Desgaste,20-03-2024,Cerrada,"['311-23-9012', '542-71-1216']",['13487'],Bajo,"[['Flavio Celso Vigil Tomas', 'trini69@hotmail.com', '+34742145237'], ['Paulino De Briones', 'lsebastian@alcazar.es', '+34718658080']]",-1.0
78,Rotura,30-09-2024,Abierta,['085-97-4774'],['2057'],Bajo,"[['Ángel De Lladó', 'arcelia85@hotmail.com', '+34946584159']]",-1.0
79,Mal funcionamiento,07-05-2024,Cerrada,"['127-70-7755', '837-71-6783']",['14167'],Bajo,"[['Isaura Murillo-peñalver', 'faustoazorin@matas.com', '+34907806194'], ['Amado Juan Escudero Zapata', 'lisandrogibert@camacho.es', '+34742859480']]",-1.0
80,Mal funcionamiento,25-11-2023,Abierta,['894-46-2114'],"['4031', '12053']",Bajo,"[['Delia Álamo', 'gemareal@morcillo.org', '+34732984375']]",299.0
81,Rotura,10-06-2024,Cerrada,"['391-88-3157', '380-75-1092']","['2899', '8710']",Bajo,"[['Lupe Díez', 'daniloroldan@gil-alba.org', '+34663231531'], ['Ciro Guiomar Company León', 'silviobelmonte@gmail.com', '+34734852038']]",-1.0
82,Desgaste,11-04-2024,Cerrada,"['838-96-5164', '818-45-3964']",['1741'],Bajo,"[['Eduardo Gomis-amaya', 'caronicanor@yahoo.com', '+34746784407'], ['Adelardo Pujadas-aznar', 'lpuga@moya.com', '+34847047541']]",124.0
83,Vandalismo,27-04-2024,Cerrada,"['575-21-6618', '260-56-5535']","['2507', '5962']",Bajo,"[['Malena Polo Mínguez', 'alcalahoracio@feijoo.es', '+34715003129'], ['Fátima De Escudero', 'nestorrojas@caceres.org', '+34956633891']]",-1.0
84,Desgaste,03-01-2024,Abierta,"['824-77-2616', '158-28-9848', '514-82-8382']",['11189'],Bajo,"[['Fidela Bernal Márquez', 'jesusbellido@yahoo.com', '+34967437533'], ['Andrés Carro Cabañas', 'uroura@cabeza-girona.net', '+34701131257'], ['Eli Canals Cano', 'sevesalamanca@gmail.com', '+34709724962']]",57.0
85,Vandalismo,16-12-2023,Cerrada,['099-35-1380'],['6988'],Bajo,"[['Amado Amorós', 'oposada@gmail.com', '+34855317576']]",75.0
86,Vandalismo,17-09-2024,Abierta,"['217-98-1971', '937-20-7275']",['11802'],Bajo,"[['Glauco Del Puig', 'gaston06@castilla.es', '+34616147925'], ['Héctor Baños Camino', 'primitivahigueras@elias-almansa.es', '+34737028286']]",4.0
87,Rotura,23-03-2024,Cerrada,"['788-21-2876', '946-79-0736']","['3508', '8892', '12574']",Bajo,"[['Herminia Salvà Feijoo', 'aceronacho@gmail.com', '+34907876547'], ['Daniel Peralta Escolano', 'bernardita72@lasa.net', '+34714070542']]",-1.0
88,Mal funcionamiento,02-04-2024,Abierta,"['675-54-6552', '409-86-2303']",['1330'],Bajo,"[['Clemente Uriarte-bayón', 'ymontenegro@rebollo.es', '+34704511707'], ['Jordi Mateo Crespi', 'petronapalau@gmail.com', '+34732098565']]",59.0
89,Mal funcionamiento,18-05-2024,Cerrada,"['817-34-2428', '554-49-0304', '218-00-4040']",['4249'],Bajo,"[['Jaime Kike Blázquez Cánovas', 'clara10@ropero.com', '+34998582990'], ['Fermín Daza Peiró', 'mamenespinosa@anaya.org', '+34613509690'], ['Jessica De Alberola', 'demetriocano@soriano.com', '+34689923816']]",-1.0
90,Desgaste,14-01-2024,Abierta,"['174-43-1815', '019-00-6767']",['10012'],Bajo,"[['Ismael Lobato Galan', 'maximilianoquiroga@marti.es', '+34741123460'], ['Modesta Plaza-correa', 'muletarcelia@cerdan.es', '+34740211399']]",189.0
91,Mal funcionamiento,13-02-2024,Cerrada,"['148-66-5370', '430-05-1686']",['12883'],Bajo,"[['Ciríaco Acero Villalonga', 'kroura@hotmail.com', '+34633615208'], ['Leocadio Aguirre Gárate', 'pepita41@pareja.es', '+34729882315']]",241.0
92,Desgaste,09-01-2024,Cerrada,"['865-70-1340', '760-66-5305', '798-74-5409']",['1855'],Bajo,"[['Jordana Armengol Ferrándiz', 'icoronado@macias-catalan.com', '+34737586059'], ['Paula Amaya Madrigal', 'zsoler@hotmail.com', '+34737830956'], ['Cándido Roma-mir', 'marcelino58@cabo-muro.com', '+34701863863']]",59.0
93,Desgaste,27-11-2023,Cerrada,"['017-43-7295', '357-05-1407']",['1845'],Bajo,"[['Cecilio Alsina Melero', 'cleto63@hotmail.com', '+34701584807'], ['Anselmo Quesada Zamora', 'cuellarpacifica@carrera-raya.es', '+34718824888']]",132.0
94,Vandalismo,09-05-2024,Cerrada,['436-60-7701'],['1454'],Bajo,"[['Isidro Solís Soria', 'remigiobonilla@yahoo.com', '+34837078824']]",-1.0
95,Mal funcionamiento,20-11-2023,Abierta,['982-27-6070'],"['2112', '11757']",Bajo,"[['Angelino Valcárcel Mir', 'dorotea56@hotmail.com', '+34741035771']]",75.0
96,Mal funcionamiento,15-10-2023,Cerrada,"['903-89-7000', '729-25-9421', '167-74-2219']","['1003', '9563']",Bajo,"[['María Martinez-sanz', 'coboruperto@yahoo.com', '+34739038629'], ['Azahara Pérez Giménez', 'eescudero@julia.org', '+34714935143'], ['Leandro Robledo Grande', 'llamasjesusa@hotmail.com', '+34703337387']]",292.0
97,Desgaste,29-05-2024,Abierta,"['741-25-9934', '927-72-9530']",['9212'],Bajo,"[['Josep Antúnez Luz', 'abeljuan@olmo-pomares.org', '+34929046454'], ['Albina Iglesias Cuenca', 'blazquezleon@hotmail.com', '+34714109676']]",-1.0
98,Desgaste,01-07-2024,Cerrada,"['433-38-2732', '243-26-3469']",['2609'],Bajo,"[['Alma Ofelia Fajardo Viñas', 'quique87@gmail.com', '+34708387152'], ['Julio Cepeda Reina', 'gema57@gmail.com', '+34639759181']]",-1.0
99,Desgaste,14-11-2023,Abierta,"['775-68-8525', '081-60-4000', '398-68-3882']","['1240', '4435', '12761']",Bajo,"[['Chuy Roma-rios', 'ciriacocano@torrijos-mendez.com', '+34987209583'], ['Beatriz Muñoz Águila', 'iespejo@caparros.org', '+34809507773'], ['Delfina Clemente Leon', 'bribas@laguna.com', '+34716613225']]",274.0
100,Vandalismo,19-05-2024,Cerrada,['770-24-2945'],['6864'],Bajo,"[['José Luis Bosch-tomás', 'joan66@gmail.com', '+34726808435']]",-1.0
101,Mal funcionamiento,10-03-2024,Cerrada,"['336-56-1396', '806-70-9754', '180-58-7713']",['1560'],Bajo,"[['Maxi Mármol-mesa', 'eloy45@yahoo.com', '+34730815095'], ['Graciana Azorin-buendía', 'sebastian47@prieto-salmeron.com', '+34739972850'], ['Carlos Sandoval Bernat', 'adolfo02@paniagua-sotelo.com', '+34940393421']]",181.0
102,Desgaste,22-08-2024,Abierta,"['110-54-2966', '743-88-8084']",['9012'],Bajo,"[['Manu Rosario Palomino Botella', 'jose-antonio21@hotmail.com', '+34714834846'], ['Reynaldo Roda Barriga', 'candelaria39@gmail.com', '+34737878861']]",-1.0
103,Desgaste,11-07-2024,Cerrada,"['220-90-9225', '628-73-9187']","['1269', '10379']",Bajo,"[['Claudio Cañizares Perea', 'amartin@hoyos-estevez.es', '+34859403919'], ['Julieta Villar Díaz', 'asenjojuan-pablo@parejo-yuste.com', '+34747851976']]",44.0
